,Agriculture,Industry,Transport,Services
Algeria,75.07,87.08,116.36,89.69
Egypt,146.22,218.12,191.52,320.91
Morocco,48.05,92.03,63.56,134.11
Tunisia,43.82,75.07,57.87,90.40
Benin,155.38,306.99,434.26,420.07
BurkinaFaso,224.88,376.30,306.67,439.54
Camroon,156.46,254.63,204.32,308.17
CotedIvore,164.86,367.84,318.51,364.82
Ghana,132.93,245.63,140.32,224.15
Niger,414.90,527.05,597.57,734.41
Nigeria,163.16,212.44,203.44,248.68
Senegal,170.83,334.29,341.71,312.13
Togo,159.08,267.48,288.09,302.81
Chad,242.55,337.90,283.56,342.68
Congo,111.99,147.04,389.68,221.20
RepofCongo,327.00,461.31,258.68,389.65
EqGuinea,78.92,57.66,85.92,76.08
Gabon,78.08,109.27,105.01,136.55
Ethiopia,264.77,542.00,319.86,403.72
Kenya,140.30,201.15,174.65,301.43
Madagascar,158.32,332.68,266.95,281.54
Mauritius,36.79,85.53,131.73,104.87
Mozambique,356.92,641.82,293.80,820.06
Rwanda,298.39,501.49,299.52,405.89
Sudan,105.14,137.00,113.73,92.52
Tanzania,270.92,478.20,252.06,343.06
Uganda,235.53,429.75,285.67,356.51
Zambia,174.38,257.16,150.68,196.96
Zimbabwe,72.64,112.66,186.47,147.55
Botswana,82.40,114.14,156.08,164.75
Eswatini,65.63,108.31,150.75,164.61
Namimbia,61.33,112.76,88.23,138.70
SouthAfr,52.10,68.47,76.68,78.27
Canada,48.46,27.88,38.35,67.34
US,37.69,34.04,44.29,47.54
Mexico,38.57,91.95,105.01,99.08
Argentina,50.90,66.21,68.56,84.12
Bolivia,64.85,111.51,140.49,140.09
Brazil,6.27,31.15,43.73,107.90
Chile,49.53,63.75,65.72,66.82
Colombia,34.57,91.23,107.23,155.27
Ecuador,53.31,83.83,83.26,110.06
Paraguay,58.76,91.68,132.49,133.10
Peru,51.10,82.28,133.95,127.07
Uruguay,37.14,38.35,53.21,63.98
Venezuela,28.57,53.27,56.57,72.17
CostaRica,57.95,124.22,123.88,120.63
Guatemala,65.41,141.32,111.87,181.06
Honduras,57.82,169.11,157.69,199.20
Nicaragua,85.53,195.76,211.98,173.80
Panama,76.58,138.67,233.72,152.77
ElSalvador,60.61,88.17,104.25,111.19
DominicanRe,91.90,182.24,178.91,196.08
Haiti,83.12,100.78,160.67,208.79
Jamaica,12.65,35.59,51.21,67.17
Trinidad,6.34,32.75,59.42,41.45
China,17.54,40.69,45.80,98.21
HingKong,-1.37,-37.45,22.08,33.33
Japan,13.11,20.21,15.07,15.00
Korea,12.79,25.43,27.91,25.88
Mongolia,69.27,133.22,118.79,164.34
Taiwan,10.99,11.57,20.32,15.47
Brunei,54.77,36.99,58.07,52.46
Cambodia,116.89,278.89,251.51,286.06
Indonesia,69.73,117.86,127.66,154.01
Laos,108.36,156.26,178.43,233.05
Malaysia,55.78,92.55,80.37,96.02
Philippines,97.41,203.70,201.90,233.51
Singapore,-27.37,8.73,43.20,49.98
Thailand,34.07,58.41,62.98,69.66
Vietnam,58.59,121.98,112.44,194.04
Bangladesh,182.40,263.05,180.60,256.03
India,116.98,205.33,146.57,249.00
Nepal,143.30,90.13,191.92,263.97
Pakistan,105.15,203.52,267.28,272.93
SriLanka,47.49,54.89,79.20,83.94
Kazakhstan,60.17,91.06,80.46,93.09
Kyrgystan,67.89,54.23,141.85,230.53
Tajikistan,174.84,231.31,205.43,260.10
Uzbekistan,108.86,215.15,218.81,242.68
Armenia,68.31,113.67,87.47,167.48
Azerbaijan,67.54,76.46,104.39,85.55
Georgia,94.04,147.53,126.03,162.79
Bahrain,86.29,64.47,115.05,96.12
Iran,48.19,62.44,61.64,75.14
Iraq,214.79,248.92,287.37,277.22
Israel,69.37,94.48,106.47,125.59
Jordan,123.03,97.72,126.45,131.78
Kuwait,103.98,86.17,106.70,99.44
Lebanon,21.12,19.70,48.58,71.74
Oman,113.42,95.47,150.20,121.44
Qatar,84.29,62.06,84.36,79.16
SaudiArab,91.38,105.00,159.28,128.65
Syria,-230.18,-261.89,199.45,335.25
Turkey,38.74,89.33,110.43,124.21
UAE,101.32,84.40,127.78,122.52
AUST,20.88,26.16,48.80,38.30
BELG,29.70,15.52,42.73,39.20
BUL,28.10,43.12,57.89,59.17
CRO,20.37,16.79,63.99,51.89
CYPR,35.69,52.60,73.67,76.32
CZH,21.89,24.35,44.35,32.47
DEN,39.19,10.54,58.18,42.95
ESTO,21.70,15.16,47.49,39.37
FINL,16.99,19.30,30.86,30.60
FRAN,25.67,23.54,41.20,39.85
GER,27.32,19.04,33.28,26.02
GRE,12.90,46.36,75.88,61.23
HUNG,18.49,37.32,38.85,45.20
IRE,14.18,-12.42,47.04,49.21
ITALY,28.58,69.54,85.55,100.75
LAT,20.63,-0.55,37.99,36.49
LTH,31.03,8.33,40.56,29.85
LUXE,7.61,-30.65,50.20,43.92
MAL,41.73,23.71,141.83,78.37
NTH,28.79,10.07,50.09,41.33
POLA,28.58,46.53,54.23,55.93
POR,16.11,31.77,56.14,54.76
ROM,29.31,34.52,60.64,55.80
SLK,22.87,43.01,49.92,41.37
SLO,16.74,18.57,54.73,43.87
SPA,26.03,42.24,51.97,55.11
SWED,25.27,34.13,55.75,54.97
UK,29.89,12.85,69.02,62.17
SWIZ,16.24,9.19,40.32,34.50
ALBA,20.30,57.34,120.59,98.15
SER,34.13,80.22,88.58,87.58
NORW,26.75,30.71,54.47,50.04
